timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979601.015,176.97.154.167,4122,195.179.45.125,6346,0,0
977979601.015,202.172.237.51,3128,144.222.106.209,3966,0,0
977979601.016,202.172.237.51,3128,144.222.106.209,3966,0,0
977979601.016,192.189.63.182,6346,176.97.154.167,3978,0,0
977979601.017,176.97.154.167,4357,83.109.3.213,6346,0,0
977979601.017,207.90.52.230,4481,207.38.44.240,80,0,0
977979601.018,176.97.154.167,6346,83.26.70.121,1330,0,0
977979601.02,83.109.3.213,6346,176.97.154.167,4357,0,0
977979601.02,206.133.250.176,53,107.227.170.48,1024,0,0
977979601.02,176.97.154.167,3978,192.189.63.182,6346,0,0
977979601.021,206.158.32.120,47008,170.117.110.161,80,4,16
977979601.022,219.185.21.141,6355,176.97.154.167,4114,0,0
977979601.022,207.62.157.58,53,144.237.240.193,53,0,0
977979601.023,202.172.237.51,3128,144.222.107.36,4839,0,0
977979601.024,219.148.251.83,8080,176.97.14.122,2404,0,0
977979601.024,206.133.253.40,56758,200.13.134.202,3886,0,0
977979601.024,209.82.173.182,6346,176.97.154.167,3814,0,0
977979601.024,202.172.237.51,3128,144.222.107.36,4839,0,0
977979601.025,176.97.154.167,4114,219.185.21.141,6355,0,0
977979601.025,206.133.250.176,53,203.4.138.120,35484,0,0
977979601.025,180.195.190.187,1495,107.49.122.150,80,0,0
977979601.026,209.135.177.50,80,149.75.65.110,4241,0,0
977979601.027,206.158.32.120,47008,170.117.110.161,80,4,16
977979601.029,212.181.66.161,6346,176.97.154.167,4025,0,0
977979601.029,152.76.2.162,32815,206.133.250.176,53,0,0
977979601.029,176.97.154.167,3814,209.82.173.182,6346,0,0
977979601.03,118.105.224.63,33799,176.97.154.167,6346,0,0
977979601.031,206.133.250.176,53,152.76.2.162,32815,0,0
977979601.031,47.64.119.114,65164,176.97.154.167,6346,0,0
977979601.031,206.133.250.190,1154,201.37.96.10,194,0,0
977979601.032,71.251.142.191,5543,180.195.49.164,58135,4,16
977979601.032,209.47.92.134,26599,207.157.38.139,80,0,0
977979601.032,176.97.154.167,4025,212.181.66.161,6346,0,0
977979601.032,209.47.92.134,26599,207.157.38.139,80,0,0
977979601.032,170.117.73.22,3123,107.28.242.0,80,0,0
977979601.033,212.52.245.148,6688,180.195.87.195,1059,0,0
977979601.033,176.97.154.167,6346,118.105.224.63,33799,0,0
977979601.033,212.52.245.148,6688,180.195.87.195,1059,0,0
977979601.033,83.195.107.47,1169,176.97.154.167,6346,0,0
977979601.033,209.197.139.87,1346,176.97.154.167,6346,0,0
977979601.034,83.28.111.79,1990,176.97.154.167,6346,0,0
977979601.035,197.182.176.170,6346,176.97.154.167,4078,0,0
977979601.036,176.97.154.167,6346,47.64.119.114,65164,0,0
977979601.036,207.157.172.226,1174,196.16.47.95,80,0,0
977979601.036,46.83.193.150,1386,180.195.4.219,1396,0,0
977979601.036,46.130.13.153,40391,176.97.201.123,1171,0,0
977979601.036,46.83.193.150,1386,180.195.4.219,1396,0,0
977979601.036,46.130.13.153,40391,176.97.201.123,1171,0,0
977979601.036,71.229.230.3,80,149.75.106.51,1408,0,0
977979601.037,47.75.147.187,1146,176.97.154.167,6346,0,0
977979601.038,144.222.106.209,53,213.12.104.152,1389,0,0
977979601.038,176.97.154.167,6346,209.197.139.87,1346,0,0
977979601.039,176.97.154.167,6346,83.195.107.47,1169,0,0
977979601.039,176.97.154.167,6346,83.28.111.79,1990,0,0
977979601.039,176.97.154.167,4078,197.182.176.170,6346,0,0
977979601.04,71.251.142.191,5543,180.195.49.164,58135,4,16
977979601.04,196.20.225.36,80,180.195.6.191,1072,0,0
977979601.04,202.172.237.51,3128,144.222.106.209,3966,0,0
977979601.04,202.96.55.140,80,144.222.107.36,4984,0,0
977979601.041,208.64.227.170,3871,176.97.223.107,1139,0,0
977979601.041,208.64.227.170,0,176.97.223.107,0,0,0
977979601.041,208.64.227.170,0,176.97.223.107,0,0,0
977979601.042,176.97.154.167,6346,47.75.147.187,1146,0,0
977979601.042,207.145.196.203,2680,219.3.146.156,80,0,0
977979601.042,207.82.150.230,80,207.145.216.244,39320,0,0
977979601.042,219.184.202.181,1041,180.195.87.195,6699,0,0
977979601.043,196.20.225.36,80,180.195.6.191,1072,0,0
977979601.043,219.184.202.181,1041,180.195.87.195,6699,0,0
977979601.043,219.184.202.181,1041,180.195.87.195,6699,0,0
